ID,official_name,nahuatl,type,subchapter
ID139,Quauh-patli,Quauh-patli,plant,9m
ID140,Quauh-tzitzicaztli,Quauh-tzitzicaztli,plant,9k
ID141,Quauh-xiyotl,Quauh-xiyotl,plant,9g
ID142,Quauhtla xoxocoyolin,Quauhtla xoxocoyolin,plant,
ID143,Quetzal-ahuexotl,Quetzal-ahuexotl,plant,a-huexotl 11a
ID144,Quetzal-a-illin,Quetzal-a-illin,plant,
ID145,Quetzal-atzonyatl,Quetzal-atzonyatl,plant,10a; quetzal-atzo-yatl 10a
ID146,Quetzal-illin,Quetzal-illin,plant,
ID147,Quetzal-misquitl,Quetzal-misquitl,plant,quetzal-mizquitl 8f; quetzal-mizquitl 9m
ID148,Quetzal-xoxouca-patli,Quetzal-xoxouca-patli,plant,xoxouhca patli 6i; quetzal-xoxouhca-patli 8j
ID149,Quetzal-xoxouhca-patli tzotzotlani,Quetzal-xoxouhca-patli tzotzotlani,plant,tzotzotlani 8j
ID150,Te-amoxtli,Te-amoxtli,plant,1a; 5d; 5e; 8b; 8g; 9f; 9p; 9q; 12b
ID151,Te-amoxtli,Tepiton; Te-amoxtli,plant,
ID152,Temahuitztih-quahuitl,Temahuitztih-quahuitl,plant,
ID153,Te-mahuiliztli-quahuitl,Te-mahuiliztli-quahuitl,plant,
ID154,Te-memetla,Te-memetla,plant,tememetla 6c
ID155,Teo-amatl,Teo-amatl,plant,9c; 9d; 9h; 9h
ID156,Teo-iztaquilitl,Teo-iztaquilitl,plant,
ID157,Teo-xihuitl,Teo-xihuitl,plant,7c
ID158,Te-papa-quilti-quahuitl,Te-papa-quilti-quahuitl,plant,te-papaquilti quahuitl 8l
ID159,Tepa-quilti xiuhtontli,Tepa-quilti xiuhtontli,plant,
ID160,Tepe-chian,Tepe-chian,plant,tepe chian 5g; 8e; 8f; 8g; 8j; 9b; 9g
ID161,Tepe-papalo-quilitl,Tepe-papalo-quilitl,plant,tepepapalo quilitl 10j
ID162,Tepe-ylin,Tepe-ylin,plant,
ID163,Tequam-maitl,Tequam-maitl,plant,1d
ID164,Tequixqui-zacatl,Tequixqui-zacatl,plant,2f
ID165,Te-tzapotl,Te-tzapotl,plant,8a; 8b
ID166,Te-tzitzicaztli,Te-tzitzicaztli,plant,9k
ID167,Te-tzitzilin,Te-tzitzilin,plant,te-tzilin 10a
ID168,Te-xiyotl,Te-xiyotl,plant,6c; 9p
ID169,Te-xochitl yamanqui,Te-xochitl yamanqui,plant,
ID170,Tetezhuatic,Tetezhuatic,plant,te-tezhuatic 6e
ID171,Tetzmi-nopalli,Tetzmi-nopalli,plant,5g
ID172,Tetzmitl,Tetzmitl,plant,2f; 9b; 9e; 9e; 9l; 9p
ID173,Tetzmi-xochitl,Tetzmi-xochitl,plant,1d; 8d
ID174,Texcal-ama-coztli,Texcal-ama-coztli,plant,
ID175,Texcal-amatl chichic,Texcal-amatl chichic,plant,
ID176,Tezon-patli,Tezon-patli,plant,1d
ID177,Tohmiyo-xihuitl,Tohmiyo-xihuitl,plant,tohmiyo xihuitl 11e
ID178,Tolohua xihuitl,Tolova; Tolohua; Tolohua xihuitl,plant,3a; tolova-xihuitl 6f; tolohua 6g; tolohua-xihuitl 7e; tolohua-xihuitl 8a; tolohua-xihuitl 8i; tolohua-xihuitl 8j; tolohua-xihuitl 9n
ID179,Tlapatl,Tlapatl,plant,3a
ID180,Tol-patlactli,Tol-patlactli,plant,5d; tol-patlctli 9e
ID181,Tomaz-quitl,Tomaz-quitl,plant,tomazquitl 8l
ID182,Tonaca-xochitl,Tonaca-xochitl,plant,10f
ID183,Tonal-xochitl,Tonal-xochitl,plant,
ID184,Xiuhuitl tonalco-mochiva hahuachcho,Xiuhuitl tonalco-mochiva hahuachcho,plant,ahhuachcho tonatiuh-yxiuh 7g; tonatiuh-yxiuh ahhuachcho 7h
ID185,Ayauh-tonan-yxiuh,Ayauh-tonan-yxiuh,plant,10f
ID186,Totonqui xochitl,Totonqui xochitl,plant,
ID187,Topozan,Topozan,plant,topozan 9g
ID188,Totec-yxiuh,Totec-yxiuh,plant,totec yxiuh 11d
ID189,Totoloctzin,Totoloctzin,plant,10f
ID190,Tlaca-camotli,Tlaca-camotli,plant,7d; 9e
ID191,Tlachinolpanixua-xihuitl,Tlachinolpanixua-xihuitl,plant,
ID192,Tlaco-amatl,Tlaco-amatl,plant,tlacomatl 7k
ID193,Tlaco-ecapatli,Tlaco-ecapatli,plant,tlaco-eca-patli 9l
ID194,Tlaco-izqui-xochitl,Tlaco-izqui-xochitl,plant,2b
ID195,Tlaco-popotli,Tlaco-popotli,plant,tlaco-popotl 11c
ID196,Tlaco-xilo-xochitl,Tlaco-xilo-xochitl,plant,5h; 6b; 9d
ID197,Tla-cuilol-quahuitl,Tla-cuilol-quahuitl,plant,
ID198,Tlal-ahuehuetl,Tlal-ahuehuetl,plant,1b; 9j; 9m; 9n; 12a
ID199,TIal-cacapol,TIal-cacapol,plant,
ID200,Tlal-ecapatli,Tlal-ecapatli,plant,8j; 9e; 9q
ID201,Tlal-huaxin,Tlal-huaxin,plant,
ID202,Tlal-mizquitl,Tlal-mizquitl,plant,6e; 12a
ID203,Tlal-patli,Tlal-patli,plant,9m
ID204,Tlal-quequetzal,Tlal-quequetzal,plant,6d; tla-que quetzal 8f; 9d
ID205,Tla-nen-popoloua,Tla-nen-popoloua xiuhtontli; Tla-nen-popoloua,plant,xiuhtontli tlanen-popoloua 8b; tlanen-popoloa 9l
ID206,Tlanexti,Tlanexti,plant,
ID207,Tlanextia-yxiuh,Tlanextia-yxiuh,plant,tlanexti-yxiuh 9h; tlanexti-yxiuh 10d
ID208,Tlanextia xiuhtontli,Tlanextia xiuhtontli,plant,tlanexti 5d; tlanexti 5f; 5i; tlanexti-xiuhtontli 7l; tlanexti-xiuhtontli 7m; tlanextia xihuitl 9b; tlanextia xihuitl 9f; tlanextia 11a
ID209,Tlanextia quahuitl,Tlanextia quahuitl,plant,tlanextia-quahuitl 7l; 9b; tlanextia-quahuitl 88
ID210,Tlanextiqtl,Tlanextiqtl,plant,
ID211,Tlapal-achiyotl,Tlapal-achiyotl,plant,9d
ID212,Tlapol-cacahuatl,Tlapol-cacahuatl,plant,tlapal-cacahuatl 8l
ID213,Tlaquilin,Tlaquilin,plant,3a; 9i; 9m
ID214,Tlatlacotic,Tlatlacotic,plant,6c; 7a; 9q; 10a; 10e
ID215,Tlatlanquaye,Tlatlanquaye,plant,1b; 3a; 5i; 6a; 7f; 7i; 7l; 8k; tlatlan-quaye 9a; 9f; 9g; 9h; 9i; 9m; 9n; 9q;12a
ID216,Ahhuiyac tlatlanquaye,Ahhuiyac tlatlanquaye,plant,
ID217,Tlatlaolton,Tlatlaolton,plant,7b; 8k
ID218,Tlatlauhqui-amoxtli,Tlatlauhqui-amoxtli,plant,tlatlauhqui amoxtli 8c
ID219,Tlatzcan,Tlatzcan,plant,
ID220,Tla-yapaloni,Tla-yapaloni,plant,1b; tlayapaloni 9f; 9n; 12a
ID221,Tlazol-patli,Tlazol-patli,plant,2g; 9b
ID222,Tlazol-teo-zacatl,Tlazol-teo-zacatl,plant,tlazolco-zacatl 9b; tlazo-teo-zacatl 9f
ID223,Coyo-xihuitl tlaztalehualtic,TIaztalehualtic; Coyo-xihuitl tlaztalehualtic,plant,
ID224,Tlil-xochitl,Tlil-xochitl,plant,10k
ID225,Tzacouh-xochitl,Tzacouh-xochitl,plant,10d
ID226,Tzayanal-quilitl,Tzayanal-quilitl,plant,9e
ID227,Tzihuac-copalli,Tzihuac-copalli,plant,9l
ID228,A-tzitzicaztli,A-tzitzicaztli,plant,
ID229,Colo-tzitzicaztli,Colo-tzitzicaztli,plant,9k
ID230,Patlahuac tzitzicaztli,Patlahuac tzitzicaztli,plant,
ID231,Quauh-tzitzicaztli,Quauh-tzitzicaztli,plant,
ID232,Te-tzitzicaztli,Te-tzitzicaztli,plant,
ID233,Tzitzicton,Tzitzicton,plant,7b; 8h
ID234,Tzon-pachtzin,Tzon-pachtzin,plant,tzom-pachtin 9b
ID235,Tzonpilihuiz-patli,Tzonpilihuiz-patli,plant,6h
ID236,Tzon-pilihuiz-xihuitl,Tzon-pilihuiz-xihuitl,plant,tzonpilihuiz-xihuitl 4a; tzonpilihuiz-xihuitl 7g
ID237,Tzopelica-cococ,Tzopelica-cococ,plant,6b
ID238,Tzotzoca-xihuitl,Tzotzoca-xihuitl; Quapatli,plant,
